Name,Location,Description,Cohort,Tags,b2b,cb_created_at,cb_entity_def_id,cb_facebook,cb_image_url,cb_linkedin,cb_short_description,cb_stock_exchange_symbol,cb_twitter,cb_updated_at,cb_website_url
Benchling,"San Francisco, CA, USA",Unlocking the power of biotech with modern software for modern science,S12,,True,2014-02-22,organization,http://www.facebook.com/benchling,https://images.crunchbase.com/image/upload/t_cb-default-original/chcs8sstven7icv2zkmb,https://www.linkedin.com/company/benchling/,Benchling is an IT company that provides a cloud-based software platform for biology researchers and research and development organizations.,NA,https://x.com/benchling,2024-09-18,https://www.benchling.com
Casetext,"San Francisco, CA, USA",We make the world's laws free and understandable.,S13,Legal,True,2013-08-06,organization,https://www.facebook.com/casetext,https://images.crunchbase.com/image/upload/t_cb-default-original/mbfrvby8uk1ctxwyqctp,https://www.linkedin.com/company/casetext,"Casetext is an AI legal research technology for litigators, helping researchers find cases.",NA,http://twitter.com/casetext,2024-03-19,http://www.casetext.com
Bird,"Amsterdam, NH, Netherlands",The world’s largest omnichannel communications platform,S16,"Engineering, Product and Design",True,2018-02-13,organization,https://www.facebook.com/bird,https://images.crunchbase.com/image/upload/t_cb-default-original/oobypao7z4ynzmdalsjj,https://www.linkedin.com/company/birdapp,Bird designs a vehicle sharing platform that provides affordable transportation solutions to communities across the world.,otcqx,https://www.twitter.com/birdride,2024-04-03,https://www.bird.co
Brex,"San Francisco, CA, USA","Business accounts, corporate cards, and spend management software.",W17,"Fintech, Banking and Exchange",False,2018-04-21,organization,https://www.facebook.com/BrexHQ,https://images.crunchbase.com/image/upload/t_cb-default-original/aedflsehonswztdphtdh,https://www.linkedin.com/company/brexhq,"Brex is a financial technology company that provides a platform for corporate cards, expense management, reimbursements, and bill pay.",NA,https://x.com/brexHQ,2024-09-18,https://brex.com
The Athletic,"San Francisco, CA, USA",Subscription sports media.,S16,"Consumer, Content",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Codecademy,"New York, NY, USA",The leading online learning platform for technical skills.,S11,Education,False,2014-05-08,organization,http://www.facebook.com/codecademy,https://images.crunchbase.com/image/upload/t_cb-default-original/gw9rnyrhkkljgerhki1l,http://www.linkedin.com/company/codecademy,Codecademy provides an online learning platform that teaches employable digital skills.,NA,http://twitter.com/Codecademy,2024-04-10,http://www.codecademy.com
Checkr,"San Francisco, CA, USA",People infrastructure for the future of work,S14,Human Resources,True,2014-07-24,organization,https://www.facebook.com/checkrio,https://images.crunchbase.com/image/upload/t_cb-default-original/r3uvfvquvuhrmnwqepu8,https://www.linkedin.com/company/checkr-com,Checkr is a software company that automates and speeds up the process of professional background checks.,NA,https://twitter.com/checkr,2024-09-19,https://checkr.com
Lever,"San Francisco, CA, USA",Talent Acquisition Suite that combines ATS + Talent CRM,S12,Recruiting and Talent,True,2013-03-19,organization,https://www.facebook.com/leverapp/,https://images.crunchbase.com/image/upload/t_cb-default-original/er6wz61twb0iw9sdqmga,https://www.linkedin.com/company/lever-/,Lever is a talent acquisition suite that provides talent leaders with the solutions they need to build strong relationships with candidates.,NA,http://twitter.com/lever,2022-07-19,https://www.lever.co/
Clipboard Health,Remote,Connects healthcare facilities with nurses nearby.,W17,"Healthcare, Healthcare Services",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heap,"San Francisco, CA, USA",Captures user interactions with no code to generate analytics.,W13,Analytics,True,2013-07-05,organization,https://www.facebook.com/HeapAnalytics,https://images.crunchbase.com/image/upload/t_cb-default-original/rpbf61vemzhqib0zxcid,https://www.linkedin.com/company/heap-inc-,Heap is a platform that provides analytics infrastructure to reduce the annoying parts of user analytics.,NA,http://twitter.com/heap,2023-10-01,https://heap.io
Sendwave,"Boston, MA, USA","Instant, no fee international remittances.",W12,"Fintech, Payments",False,2020-08-26,organization,https://www.facebook.com/sendwave,https://images.crunchbase.com/image/upload/t_cb-default-original/fntrdfnwv0gdhkef7pyd,https://www.linkedin.com/company/wavemoney,Sendwave is an app-based remittance company with the mission of sending money as easy as sending a text.,NA,https://twitter.com/sendwaveapp,2024-05-17,https://www.sendwave.com/
Deel,"San Francisco, CA, USA",The all-in-one HR and payroll platform for global teams,W19,Finance and Accounting,True,2019-01-28,organization,https://www.facebook.com/GetDeel,https://images.crunchbase.com/image/upload/t_cb-default-original/m7grvpznjzt9sd8crngp,https://www.linkedin.com/company/Deel,"Deel is a payroll and compliance platform that provides employees and contractors with hiring, HR, and payroll services.",NA,https://x.com/Deel,2024-09-18,https://www.deel.com
Clever,"San Francisco, CA, USA",The platform that powers technology in the classroom.,S12,Education,False,2012-06-27,organization,https://facebook.com/clever,https://images.crunchbase.com/image/upload/t_cb-default-original/wrp6mp3mzooy3wq7jriu,http://www.linkedin.com/company/clever-inc-,Clever is a digital learning platform designed for K12 schools and used by 22 million students and teachers.,NA,http://twitter.com/Clever,2022-03-03,https://clever.com
Caper,,Plug-and-play cashier-less retail powered by computer vision and AI,W16,Retail,True,2017-10-10,organization,https://www.facebook.com/ThinkCaper/,https://images.crunchbase.com/image/upload/t_cb-default-original/uyw3pcxddk5cok26cqyq,https://www.linkedin.com/company/caper-ai/about/,Caper builds autonomous retailer devices and solutions powered by deep learning and computer vision,NA,https://twitter.com/ThinkCaper,2022-07-18,https://www.caper.ai/
